file	sha256	source	config	command	bc_sha256	dosbox	made_by
jumptable.obj	34940e4411010af8b011cb5eb96e286728df56151cfee2d2f226f8064a333779	unrecorded -- predates this script, provenance lost	unknown	unknown	unknown	unknown	unknown
negnot-p-evt.obj	80d7a495c67155b7aad962b940391adaabab834010c043c2eb62fbebe538b57d	suite/negnot.bas	p-evt	BC /O /FPi /G2 /V /W NEGNOT.BAS, F10.OBJ;	3112bcc99a8d4d9e28bd16085a4592c3f251fea0dfaf0aa63ca4525d7611028d	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
negnot-p-g2-zd.obj	55b908057e0e3b19637ec9c4472081f2a900c0c4f3eb0aaac0acd9cf4cd7f7b2	suite/negnot.bas	p-g2	BC /O /FPi /G2 /Zd NEGNOT.BAS, F07.OBJ;	3112bcc99a8d4d9e28bd16085a4592c3f251fea0dfaf0aa63ca4525d7611028d	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
negnot-p-g2.obj	f97152d7c03c99881baf762e29d7e545f5c8362f35f70d9e1456a1d113b97659	suite/negnot.bas	p-g2	BC /O /FPi /G2 NEGNOT.BAS, F06.OBJ;	3112bcc99a8d4d9e28bd16085a4592c3f251fea0dfaf0aa63ca4525d7611028d	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
negnot-p-noO.obj	a57de62686843b192dcbe5da30148ffe25e0821e86626a3c5344bb2f21c33b11	suite/negnot.bas	p-noO	BC /FPi /G2 NEGNOT.BAS, F09.OBJ;	3112bcc99a8d4d9e28bd16085a4592c3f251fea0dfaf0aa63ca4525d7611028d	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
negnot-p-ot.obj	f97152d7c03c99881baf762e29d7e545f5c8362f35f70d9e1456a1d113b97659	suite/negnot.bas	p-ot	BC /O /FPi /G2 /Ot NEGNOT.BAS, F08.OBJ;	3112bcc99a8d4d9e28bd16085a4592c3f251fea0dfaf0aa63ca4525d7611028d	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
negnot-q-O-zd.obj	f3e91bf3cffff094694a3876fbf896e5d0366e35815c54863774717a8901d709	suite/negnot.bas	q-O	BC /O /FPi /Zd NEGNOT.BAS, F12.OBJ;	de21556c94b588bfca06388a45f6e22362a7c9e153571f5a27c4f95b6740f5fa	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
negnot-q-O.obj	be11db11c663ac9623e86f0cbfc1e68d0018924ce5981f7cf92460a698920180	suite/negnot.bas	q-O	BC /O /FPi NEGNOT.BAS, F11.OBJ;	de21556c94b588bfca06388a45f6e22362a7c9e153571f5a27c4f95b6740f5fa	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
negnot-q-evt.obj	83e949cc4a05c752bf9acbfedb7d2ae6112de15e71f1b0421a2af3911cb77b34	suite/negnot.bas	q-evt	BC /O /FPi /V /W NEGNOT.BAS, F14.OBJ;	de21556c94b588bfca06388a45f6e22362a7c9e153571f5a27c4f95b6740f5fa	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
negnot-q-noO.obj	da64df3514800e9fb0b9a693052aedc07f26b878896dfa1afaf90ea18c2f9c13	suite/negnot.bas	q-noO	BC /FPi NEGNOT.BAS, F13.OBJ;	de21556c94b588bfca06388a45f6e22362a7c9e153571f5a27c4f95b6740f5fa	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
negnot-v-evt.obj	929e9987f31d2891e126a1059490eb5a2fd40f9cd1c51dd305baca881fb7b8ba	suite/negnot.bas	v-evt	BC /O /FPi /R /G3 /E /V /W NEGNOT.BAS, F05.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
negnot-v-g2.obj	e50876f81aec4eacea9076b00b1a3aab88afe1f85de9ecbf3f7e87f049685d15	suite/negnot.bas	v-g2	BC /O /FPi /R /G2 /E NEGNOT.BAS, F02.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
negnot-v-g3-zd.obj	b532b586227156661f7a5451abf98aedf6ea7f031895399ea8498ee010008bd6	suite/negnot.bas	v-g3	BC /O /FPi /R /G3 /E /Zd NEGNOT.BAS, F01.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
negnot-v-g3.obj	d698bf3fea08a0da5ba22b3f0df8725fdcef98e9f6ae0ca67ce811a3dc153be0	suite/negnot.bas	v-g3	BC /O /FPi /R /G3 /E NEGNOT.BAS, F00.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
negnot-v-noO.obj	7146b3cd50906a7f8ff81f660ea4959a93fdcdb6868e0f1c8d7b97e0795c039e	suite/negnot.bas	v-noO	BC /FPi /R /G3 /E NEGNOT.BAS, F03.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
negnot-v-plain.obj	a9cfc0bd9838eb95607ca232d65e26ed3cfab465e2607c62c049086694479f98	suite/negnot.bas	v-plain	BC /FPi /R /E NEGNOT.BAS, F04.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
pds-g2.obj	1a5267cb564f0db453fdb98588120f3f9d24bb8039985d04215d08d9aa78815a	unrecorded -- predates this script, provenance lost	unknown	unknown	unknown	unknown	unknown
qb45.obj	56359e5a683629bacbbda0dc11d8cc134ac4c25b352df10d2de80b12faccde79	unrecorded -- predates this script, provenance lost	unknown	unknown	unknown	unknown	unknown
vbdos-g2.obj	74255ab9898e9192d5f1b6729708d110ca37073ac78c87a15cf07675c7463113	unrecorded -- predates this script, provenance lost	unknown	unknown	unknown	unknown	unknown
vbdos-g3.obj	9d5bb88aa49b727bea9de190b462e6abcea931d980b3bf10e453fd78df547518	unrecorded -- predates this script, provenance lost	unknown	unknown	unknown	unknown	unknown
